Street,No,APN,Lot Area,ResSize,YrBlt,Age,Reno/New:,Downslope:,Upslope:,"""Flat"":",1-story:,Front,Side_Sm,Side_Lg,Rear,Slope,Story
Glenwood,332,073061230,"  27,300 ","  1,470 ",1929,  90 ,n/a,√,,,√,  26 ,0,  137 ,  65 ,D,1
Glenwood,0,073061240,"  10,541 ",  -   ,-, - , - ,√,,,, n/a , n/a , n/a , n/a ,D,
Glenwood,411,073063120,"  6,820 ","  1,690 ",1959,  60 ,1994,,√,,,  19 ,  18 ,  19 ,  28 ,U,
Glenwood,419,073063130,"  11,500 ","  1,630 ",1929,  90 ,1991,,√,,√,  65 ,  15 ,  29 ,  16 ,U,1
Glenwood,421,073063140,"  10,000 ","  1,460 ",1925,  94 ,2006,,√,,,  36 ,  12 ,  20 ,  25 ,U,
Glenwood,431,073063150,"  6,000 ","  1,250 ",1929,  90 ,2015,,√,,√,  36 ,0,  51 ,  6 ,U,1
Glenwood,439,073063160,"  15,000 ","  2,836 ",2016,  3 ,2016,,√,,,  47 ,  13 ,  46 ,  11 ,U,
Glenwood,447,073063170,"  12,500 ","  1,280 ",1933,  86 ,2012,,√,,,  37 ,  3 ,  12 ,  61 ,U,
Glenwood,451,073063180,"  19,600 ","  1,160 ",1994,  25 ,1994,,√,,,  40 ,  54 ,  100 ,  16 ,U,
Highland Terr.,0,073041190,"7,260",  -   ,n/a,n/a,n/a,,,√,n/a,n/a,n/a,n/a,n/a,F,n/a
Highland,103,073041200,"7,600","  1,450 ",1927,  92 ,n/a,,,√,√,12,11,37,5,F,1
Highland,104,073044170,"6,700","  1,270 ",1975,  44 ,n/a,,,√,,37,12,17,35,F,
Highland,112,073044160,"18,000","  1,460 ",1928,  91 ,n/a,,,√,,32,34,63,71,F,
Highland,115,073041180,"16,800","  2,800 ",1927,  92 ,2008,,,√,,26,3,57,20,F,
Highland,119,073041170,"8,580","  1,170 ",1948,  71 ,n/a,,,√,√,44,0,24,59,F,1
Highland,120,073044180,"19,000","  2,550 ",1945,  74 ,2007,,,√,,36,17,78,26,F,
Highland,127,073041160,"9,000","  1,910 ",1936,  83 ,2006,,,√,√,18,16,n/a,20,F,1
Highland,128,073044190,"14,300","  1,200 ",1959,  60 ,n/a,,,√,√,28,13,32,58,F,1
Highland,200,073044270,"16,000","  2,680 ",1993,  26 ,1993,,,√,,18,27,28,31,F,
Highland,215,073044220,"13,560","  1,640 ",1927,  92 ,2018,,,√,,48,30,61,28,F,
Highland,216,073044260,"15,700","  1,690 ",1948,  71 ,2018,,,√,√,14,34,35,31,F,1
Highland,220,073044220,"13,560","  1,640 ",1929,  90 ,n/a,,,√,√,26,0,68,4,F,1
Highland,221*,073041400,"18,000",  -   ,n/a,n/a,n/a,,,√,n/a,n/a,n/a,n/a,n/a,F,n/a
Highland,227,073041140,"17,000","  1,500 ",1931,  88 ,n/a,,,√,√,6,0,82,91,F,1
Highland,232,073044230,"14,160","  1,380 ",1929,  90 ,n/a,,,√,√,31,12,67,31,F,1
Highland,235,073041430,"25,787","  1,630 ",1929,  90 ,1999,,,√,√,113,9,52,35,F,1
Highland,237,073041420,"7,405",  970 ,1986,  33 ,1994,,,√,√,31,5,19,81,F,1
Highland,239,073041110,"15,200",  980 ,1936,  83 ,1995,,,√,√,114,13,26,54,F,1
Highland,240,073044290,"27,000","  2,090 ",1969,  50 ,1997,,√,,√,32,18,22,128,U,1
Highland,243,073041100,"11,550","  1,460 ",1936,  83 ,n/a,,,√,√,23,0,21,105,F,1
Highland,251,073041460,"33,096","  2,300 ",1929,  90 ,2005,,,√,,38,38,57,50,F,
Highland,255,073041070,"14,000","  2,000 ",2005,  14 ,2006,√,,,,37,15,21,51,D,
Highland,263,073041060,"13,000","  2,350 ",1964,  55 ,n/a,,,√,√,37,19,24,19,F,1
Highland,303,073041050,"17,340","  2,850 ",1938,  81 ,2001,,,√,,57,26,36,0,F,
Highland,312,073044030,"14,400","  3,880 ",1938,  81 ,1991,,,√,,24,14,17,32,F,
Highland,0,073044020,"27,878",  -   ,n/a,n/a,n/a,,√,,n/a,n/a,n/a,n/a,n/a,U,n/a
Highland,315,073041040,"6,630","  2,220 ",1992,  27 ,2006,,,√,,30,13,26,16,F,
Highland,319,073041030,"6,630","  1,900 ",1935,  84 ,n/a,,,√,,25,10,23,30,F,
Highland,320,073044280,"13,375","  2,825 ",1953,  66 ,2005,,,√,,22,19,37,23,F,
Highland,325,073041020,"6,630","  2,330 ",1997,  22 ,n/a,,,√,,32,5,17,16,F,
Highland,327,073041010,"7,752","  1,597 ",1949,  70 ,2008,,,√,√,3,6,n/a,20,F,1
Highland,328,073044060,"6,900","  1,580 ",1948,  71 ,1988,√,,,,21,12,16,16,D,
Hillside2,103,073062080,"9,500","1,700",1928,  91 ,1990,,,√,√,16,0,49,49,F,1
Hillside2,104,073063110,"9,500","1,430",1924,  95 ,2012,,,√,,11,32,43,43,F,
Hillside2,111,073062070,"7,000",830,1927,  92 ,n/a,,,√,√,13,0,50,50,F,1
Hillside2,116,073063100,"10,000","1,570",1955,  64 ,2016,,,√,√,22,9,44,44,F,1
Hillside2,118,073062060,"7,000","1,350",1929,  90 ,2016,,,√,√,10,0,56,56,F,1
Hillside2,119,073062050,"7,500","1,030",1932,  87 ,n/a,,,√,√,21,33,59,59,F,1
Hillside2,120,073063090,"22,000","2,480",1926,  93 ,1990,,,√,√,99,5,28,5,F,1
Hillside2,125,073062040,"9,100","1,710",1974,  45 ,n/a,√,,,,27,3,57,57,D,
Hillside2,127,073062240,"11,400","2,590",1928,  91 ,1995,√,,,,19,14,86,86,D,
Hillside2,132,073063080,"9,900","1,560",1941,  78 ,n/a,,,√,√,48,5,48,48,F,1
Hillside2,136,073063070,"10,540","1,300",1955,  64 ,2016,,,√,,96,0,42,42,F,
Hillside2,148,073063060,"14,742",810,1928,  91 ,n/a,,,√,√,67,7,80,7,F,1
Hillside1,129,073062230,"14,200","2,860",1965,  54 ,1992,√,,,,31,3,26,96,D,
Hillside1,131/,073062280,"25,110",0,n/a,n/a,n/a,√,,,,n/a,n/a,n/a,n/a,D,
Hillside1,0*,073062010,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,,
Hillside1,231/,073042070,"15,000","2,836",2016,  3 ,2017,√,,,,0,8,195,55,D,
Hillside1,0***,073042010,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,,
Hillside1,235,073042040,"21,000","1,270",1926,  93 ,2019,√,,,√,0,11,81,121,D,1
Hillside1,243,073042050,"7,650","1,250",1929,  90 ,n/a,√,,,,22,13,20,29,D,
Hillside1,260,073041390,"9,900","1,310",1927,  92 ,2015,,√,,,5,7,12,30,U,
Hillside1,303,073035070,"4,592",722,1929,  90 ,2014,√,,,,19,12,20,32,D,
Hillside1,304,073041260,"7,000",890,1929,  90 ,n/a,,√,,,27,0,23,20,U,
Hillside1,307,073035060,"4,788",920,1929,  90 ,2003,√,,,,26,0,9,33,D,
Hillside1,308,073041440,"15,000","1,790",1929,  90 ,n/a,,√,,,33,5,18,69,U,
Hillside1,309,073035050,"9,500",840,1930,  89 ,2011,√,,,√,25,3,45,34,D,1
Hillside1,315**,073035040,"11,761","1,830",1973,  46 ,n/a,√,,,,54,6,42,58,D,
Hillside1,316,073041290,"13,000","2,240",1932,  87 ,n/a,,√,,,22,6,56,36,U,
Hillside1,320,073041450,"16,814","1,980",1980,  39 ,1999,,√,,,63,0,105,32,U,
Hillside1,0*/,073035010,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,,
Hillside1,327,073035020,"22,000","2,770",2005,  14 ,n/a,√,,,,0,10,57,67,D,
Hillside1,340^,073041470,"49,658","3,284",2010,  9 ,2010,,√,,,113,118,137,29,U,
Hillside1,400,073041370,"19,000","2,430",1976,  43 ,2015,,√,,,32,22,67,32,U,
Hillside1,404,073034020,"12,000","2,173",1929,  90 ,2003,,√,,,unk,unk,unk,unk,U,
Hillside1,427,073035030,"12,000",900,1931,  88 ,1996,,√,,,38,19,33,42,U,
Hillside1,428,073034050,"22,000","2,770",2005,  14 ,2008,,√,,,26,3,n/a,n/a,U,
Hillside1,431,073035240,"14,000","1,680",1949,  70 ,n/a,√,,,,6,7,16,36,D,
Hillside1,444,073034010,"12,000","1,890",1928,  91 ,2014,,√,,,16,43,55,36,U,
Hillside1,515,073035270,"12,560",970,1929,  90 ,2007,√,,,√,119,3,18,25,D,1
Hillside1,519,073035180,"6,900",620,1924,  95 ,2018,√,,,√,32,13,17,29,D,1
Hillside1,523*/,073035170,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,n/a,n/a,n/a,n/a,,
Hillside1,523,073035160,"10,305","1,400",1930,  89 ,2018,√,,,√,40,5,36,45,D,1
Otis,103,073061030,"12,300","2,493",2009,  10 ,2009,,√,,,28,0,39,13,U,
Otis,111,073061020,"5,600","1,720",1929,  90 ,2016,,√,,,2,6,29,18,U,
Otis,115,073061010,"6,375","1,690",1931,  88 ,n/a,,√,,,24,10,24,28,U,
Otis,123,073061180 ,"10,500","1,250",1929,  90 ,n/a,,√,,√,50,14,18,65,U,1
Otis,127,073061170,"9,750","2,047",1976,  43 ,n/a,,√,,,24,4,32,79,U,
Otis,128,073033180,"11,000","3,000",1977,  42 ,n/a,√,,,√,75,0,44,76,D,1
Otis,131,073061160,"10,880",910,1929,  90 ,n/a,,√,,,110,0,35,50,U,
Otis,132,073050050,"10,000","2,056",1959,  60 ,1996,√,,,,26,0,38,46,D,
Otis,135,073061150,"10,725","2,119",1973,  46 ,2017,,√,,,30,22,30,32,U,
Otis,136,073050060,"8,000","1,690",1959,  60 ,2004,√,,,√,16,32,40,21,D,1
Otis,140,073050450,"18,513","2,660",1928,  91 ,2009,√,,,√,19,0,178,38,D,1
Otis,143,073061140,"32,200","1,690",1927,  92 ,n/a,,√,,,107,18,111,0,U,
Otis,150,073050090,"9,000","1,120",1940,  79 ,2001,√,,,,0,21,25,41,D,
Otis,152,073050460,"16,200","1,600",1973,  46 ,2011,√,,,√,0,18,86,78,D,1
Otis,157,073061220,"31,843","2,435",1987,  32 ,2011,,√,,,54,42,143,54,U,
Otis,160,073050120,"18,000","1,230",1972,  47 ,2007,√,,,√,140,37,57,158,D,1
Otis,163,073061120,"11,625","2,170",1932,  87 ,n/a,,√,,,21,7,35,20,U,
Otis,0,073061110,"10,380",0, - , - ,n/a,√,,,,-,-,-,-,D,
Otis,0,073061100,"20,299",0, - , - ,n/a,√,,,,-,-,-,-,D,
Otis,168,073050130,"9,400","1,740",1928,  91 ,1989,√,,,,0,0,44,95,D,
Otis,172,073050140,"11,000","2,850",2002,  17 ,2002,√,,,√,0,0,44,11,D,1
Ridge,4,073062100,"3,500",850,1928,  91 ,n/a,,√,,√,n/k,n/k,n/k,n/k,U,1
Ridge,8,073062110,"4,800",990,1928,  91 ,n/a,,√,,√,63,0,23,0,U,1
Ridge,16,073062120,"14,000",890,1927,  92 ,n/a,,√,,,13,31,54,41,U,
Ridge,22,073062130,"14,375","2,580",1995,  24 ,1996,,√,,,20,12,63,31,U,
Ridge,26*,073062999,"25,110",600,1928,  91 ,n/a,,,√,,16,25,66,19,F,
Ridge,32,073062150,"23,000","2,920",1929,  90 ,2009,√,,,,45,55,82,20,D,
Ridge,48,073062180,"7,900","1,520",1947,  72 ,2017,,,√,√,38,18,21,11,F,1
Ridge,63,073062160,"7,800","2,235",2007,  12 ,2007,√,,,√,9,0,30,28,D,1
Toyon,103*,073033290,"15,638","2,270",1947,  72 ,2000,√,,,√,13,8,33,61,D,1
Toyon,115,073033280,"19,800","2,020",1953,  66 ,2009,√,,,,0,3,28,90,D,
Toyon,118,073033260,"19,800","1,600",1964,  55 ,1999,√,,,,19,10,103,38,D,
Toyon,120,073033250,"22,425","2,360",1948,  71 ,1990,,√,,√,43,0,24,80,U,1
Toyon,128,073033120,"20,125","1,330",1932,  87 ,n/a,,,√,,58,3,68,46,F,
